Address	Zipcode	Co-ordinates
1309 MAIN ST , DALLAS, TX	75202	(32.78037948979592, -96.80080734693878)
3407 MCKINNEY AVE , DALLAS, TX	75204	(32.80513711188078, -96.79892065244296)
6621 SNIDER PLZ , DALLAS, TX	75205	(32.84694766895412, -96.7876739028731)
8602 SKILLMAN ST , DALLAS, TX	75243	(32.89566633069466, -96.72329070210176)
340 SINGLETON BLVD , DALLAS, TX	75212	(32.778487, -96.829571)
5441 ALPHA RD , DALLAS, TX	75240	(32.933219300000005, -96.81397025)
MARSH LN , DALLAS, TX	10051	(32.882195571428575, -96.8560076632653)
LOMBARDY LN , DALLAS, TX	10310	(32.8664342, -96.8752816)
3094 N STEMMONS FWY, DALLAS, TX	75247	(32.81270265, -96.86081903365752)
4099 W CAMP WISDOM RD , DALLAS, TX	75237	(32.66256645, -96.88555255785909)
400 S Zang Blvd, Dallas, TX	75208	(32.7420195, -96.8240403591854)
921 W Commerce St, Dallas, TX	75208	(32.773438, -96.83720390020258)
6118-6130 LUTHER LN , DALLAS, TX	75225	(32.8636239, -96.8053674)
6522 E NORTHWEST HWY , DALLAS, TX	75231	(32.85648037511989, -96.74912889389536)
5609 SMU BLVD , DALLAS, TX		(32.842086, -96.77248)
108 N FITZHUGH AVE , DALLAS, TX	75246	(32.79536751020408, -96.76374120408164)
1207 S Harwood St, Dallas, TX 	75201	(32.77600393939394, -96.78924206060606)
2714 BOMAR AVE , DALLAS, TX	75235	(32.82648332214765, -96.8391555637584)
4321 LIVE OAK ST , DALLAS, TX	75204	(32.7987692, -96.77778394401685)
N DALLAS PKY , DALLAS, TX	17604	(32.996220512899825, -96.82896864224288)
8989 FOREST LN , DALLAS, TX	75243	(32.9100409, -96.74977457931524)
N Central Expy, Dallas, TX 	11411	(32.9036795, -96.77021864929736)
1540 N COCKRELL HILL RD, DALLAS, TX	75211	(32.763673350000005, -96.89464829531846)
PRESTON RD, DALLAS, TX	14902	(32.9512661, -96.801565)
PRESTON RD, DALLAS, TX	11700	(32.90735745, -96.80365959217788)
