Cloud_Kitchen_Index(origin)	Service_Station_Index(destination)	Distance_in_miles
0	21	5.609683190896945
0	47	9.134350857665467
1	13	11.826515635754477
1	17	1.7407744645297465
2	7	3.0390752415729985
2	27	2.966088573128111
3	32	5.091443580124154
3	49	8.6389091388494
4	39	4.058078790001883
4	44	9.771329335137954
5	38	4.4578086471043505
5	46	1.3480376119595905
6	3	8.149303494082384
6	9	6.916188651411627
7	0	3.616623316264486
7	20	4.395113903106412
8	25	2.8516698965229064
8	42	2.082602027842174
9	6	1.7480186629926624
9	22	0.46578815134309237
10	23	5.720264999936704
10	29	3.5290070627316066
11	1	3.5382074683823945
11	34	2.294618907279932
12	24	2.6778426071762
12	37	2.679000164685623
13	16	3.8016310448351613
13	41	2.609657451592768
14	2	5.7783399606396495
14	31	0.9916374837445482
15	26	5.787663282202296
15	35	7.060819567761791
16	5	4.3302300961804505
16	8	4.151954515289066
17	4	5.738510961819447
17	40	2.665251705108716
18	28	7.294669425325693
18	45	8.825777268952908
19	12	1.8413610722600888
19	43	2.747041727333925
20	10	3.0299579077025034
20	15	3.0364205979300927
21	18	4.12464408199285
21	30	8.588695724631899
22	11	0.26136773322877155
22	33	3.7216239187394957
23	19	1.8710803698346488
23	48	5.484773566870769
24	14	4.532665851624908
24	36	6.02982348804495
