Index,Address
0,"1309 MAIN ST , DALLAS, TX 75202"
1,"3407 MCKINNEY AVE , DALLAS, TX 75204"
2,"6621 SNIDER PLZ , DALLAS, TX 75205"
3,"8602 SKILLMAN ST , DALLAS, TX 75243"
4,"340 SINGLETON BLVD , DALLAS, TX 75212"
5,"5441 ALPHA RD , DALLAS, TX 75240"
6,"10051 MARSH LN , DALLAS, TX 75229"
7,"10310 LOMBARDY LN , DALLAS, TX 75220"
8,"3094 N STEMMONS FWY, DALLAS, TX 75247"
9,"4099 W CAMP WISDOM RD , DALLAS, TX 75237"
10,"400 S Zang Blvd, Dallas, TX 75208"
11,"921 W Commerce St, Dallas, TX 75208"
12,"6118-6130 LUTHER LN , DALLAS, TX 75225"
13,"6522 E NORTHWEST HWY , DALLAS, TX 75231"
14,"5609 SMU BLVD , DALLAS, TX"
15,"108 N FITZHUGH AVE , DALLAS, TX 75246"
16,"1207 S Harwood St, Dallas, TX 75201"
17,"2714 BOMAR AVE , DALLAS, TX 75235"
18,"4321 LIVE OAK ST , DALLAS, TX 75204"
19,"17604 N DALLAS PKY , DALLAS, TX 75287"
20,"8989 FOREST LN , DALLAS, TX 75243"
21,"11411 N Central Expy, Dallas, TX 75243"
22,"1540 N COCKRELL HILL RD, DALLAS, TX 75211"
23,"14902 PRESTON RD, DALLAS, TX 75254"
24,"11700 PRESTON RD, DALLAS, TX 75230"
